id,system_name,system_type,source_system_id,star_mass,star_spectral_type_size,distance_sol_ly,star_radius,star_luminosity
469,LHS 347,Star,30155,0.5,K2 VI,195.0717703,,
470,LSR 0627+0616,Star,30156,0.5,M1.5 VI,198.5149117,,
471,LHS 518,Star,30157,0.5,M1 VI,204.8743719,,
472,SCR 1107-4135,Star,30158,0.5,M0.5 VI,220.5273834,,
473,SCR 1916-3638,Star,30159,0.5,M3 VI,220.67659,,
474,LHS 125,Star,30160,0.5,M V?,233.6389685,,
475,LHS 3620,Star,30161,0.5,M2 VI,253.2298137,,
476,LHS 327,Star,30162,0.5,K4 VI,304.2537313,,
477,LHS 3732,Star,30163,0.5,M VI?,391.0791367,,
478,LHS 2734 A,Star,30164,0.5,K7 VI/M1 VI,827.8172589,,
479,Gliese 2130,Multiple,30165,,,47.37254902,,
