id,star_system_id,star_name,star_type,source_system_id,galactic_x,galactic_y,galactic_z,position,star_mass,star_spectral_type_size,distance_sol_ly,star_radius,star_luminosity
165,201,WD 0141-675 (LHS 145),White Dwarf,15005,8.912630651,-18.7842114,-23.96582354,010100008090BE1E5344D321407F260C14C2C832C0C701263640F737C0,0.5,DA8,31.72762646,0.01,0.00011
166,202,WD 0912+536 (LHS 262),White Dwarf,15006,-23.64751523,6.829886448,22.75543302,01010000800D83E08EC3A537C0E436C6C0CD511B40F137F30E64C13640,0.5,DBH7,33.52106886,0.01,0.00011
167,203,WD 0245+541 (LHS 1446),White Dwarf,15007,-25.60486012,21.83742411,-2.743002864,0101000080FD0DE21CD89A39C0F8542D6D61D63540F6B64D7CABF105C0,0.5,DA9,33.76397515,0.01,0.00011
168,204,WD 1202-232 (LP 852-007),White Dwarf,15008,9.274211359,-26.1869747,21.79539302,01010000808531666E658C2240EEADED92DD2F3AC0DE5D80E09ECB3540,0.5,DA5.8,35.31016563,0.01,0.00011
169,205,WD 0009+501 (LHS 1038),White Dwarf,15009,-15.75196114,31.49888514,-7.462972276,01010000806553F00C01812FC0A8C2C0EFB67F3F40AE7F816715DA1DC0,0.5,DA7.7,36,0.01,0.00011
170,206,WD 0548-001 (EG 248),White Dwarf,15010,-31.65309079,-15.29883685,-8.285712688,01010000806A5E40F530A73FC0E82DC32401992EC04606F6EE489220C0,0.5,DQ7.9,36.11960133,0.01,0.00011
171,207,WD 0727+482AB (Gliese 275.2),White Dwarf,15011,-32.02825687,5.646776389,15.98881728,0101000080C744CEEB9D0340C0E551BA8C4C961640ACA32E4246FA2F40,0.5,DC9+DC+M VI,36.24,0.01,0.00011
172,208,WD 1953-011 (Gliese 772),White Dwarf,15012,27.67522546,22.85984406,-9.56493953,010100008066206493DBAC3B40205C85BD1EDC36409E220BC13F2123C0,0.5,DA6,37.14806378,0.01,0.00011
173,209,WD 1917+386 (GR 375),White Dwarf,15013,12.36937017,35.25390452,7.706011635,0101000080328940161EBD284071DA7CF17FA0414095AECBB6F4D21E40,0.5,DC7.9,38.14736842,0.01,0.00011
174,210,WD 1345+238 (LHS361),White Dwarf,15014,8.452746063,3.168152175,38.29422314,01010000809CF4FB54CEE720409902E32A605809406203961AA9254340,0.5,DC9,39.34378769,0.01,0.00011
175,211,WD 1055-072 (LTT 4020),White Dwarf,15015,-4.643545878,-27.27470289,28.37453225,010100008043F1CDB0FD9212C0ACAAB8ED52463BC01C0C7558E15F3C40,0.5,DA6,39.63061968,0.01,0.00011
176,212,WD 0135-052AB (Gliese 64),White Dwarf,15016,-14.83464472,8.018048219,-36.56567603,0101000080B05B808D56AB2DC04CB6BC9D3D092040957D7812684842C0,0.5,DA7+DA7,40.26666667,0.01,0.00011
177,213,WD 0659-063 (LHS 1892),White Dwarf,15017,-30.90051312,-25.8141349,-0.439514362,0101000080D804200788E63EC0400812256BD039C03563BAD80021DCBF,0.5,DA7.8,40.26666667,0.01,0.00011
178,214,WD 2140+207 (LHS 3703),White Dwarf,15018,9.966978952,36.03793692,-16.37933515,01010000804D857DDD17EF2340015BF31DDB0442402779BF1B1C6130C0,0.5,DQ6,40.82102628,0.01,0.00011
179,215,WD 1820+609 (LP 103-294),White Dwarf,15019,-0.181448833,37.13266933,18.99278556,01010000805BF1D021B739C7BF20C4004FFB9042401C24C83127FE3240,0.5,DA10.5,41.7084399,0.01,0.00011
180,216,WD 1900+705 (Gliese 742),White Dwarf,15020,-7.70808964,37.67980538,17.74979414,0101000080E3BE597315D51EC0575FD9DC03D742404E083E82F2BF3140,0.5,DAP3.2,42.35844156,0.01,0.00011
181,217,WD 0000-345 (LHS 1008),White Dwarf,15021,9.408756676,-0.686774505,-42.04040228,010100008022E2168E48D122406A73D6860EFAE5BF55A4E3E62B0545C0,0.5,DCP9,43.08586526,0.01,0.00011
182,218,WD 1121+216 (Gliese 427),White Dwarf,15022,-11.05755552,-10.82479325,41.0169085,01010000806335C8EA771D26C0516C054D4BA625C02043C70E2A824440,0.5,DA6.6,43.83870967,0.01,0.00011
183,219,WD 2326+049 (Gliese 895.2),White Dwarf,15023,0.87396849,27.36998454,-34.99536134,0101000080A61A49C48CF7EB3F5B538B4EB75E3B405A801900687F41C0,0.5,DAV4,44.4359673,0.01,0.00011
184,220,WD 1814+134,White Dwarf,15024,33.88352119,29.75170014,10.92158108,0101000080BF2FEC3817F14040D9B29D6B6FC03D40BA6CAE79D9D72540,0.5,DA9.5,46.39544808,0.01,0.00011
185,221,WD 1036-204 (LHS 2293),White Dwarf,15025,-2.983460129,-39.21529166,24.98574247,0101000080AECC175820DE07C0996657AD8E9B43C0A3ED569E59FC3840,0.5,DQ10.2,46.59428571,0.01,0.00011
186,222,WD 1633+572 (Gliese 630.1B),White Dwarf,15026,2.129015877,35.55741778,30.86506305,0101000080BF09E379390801408BA73F7759C741405FBAA4C574DD3E40,0.5,DQ8,47.13294798,0.01,0.00011
187,223,WD 1444-174 (LHS 378),White Dwarf,15027,35.03984503,-13.94457933,28.49859231,01010000800B6156A419854140BAA7E5E69FE32BC0B27CE1BEA37F3C40,0.5,DC9,47.26956522,0.01,0.00011
188,224,WD 1829+547 (G 227-035),White Dwarf,15028,4.86750632,44.04887755,20.49429091,0101000080ACE4A593537813401A619B9E41064640FB285DD9897E3440,0.5,DAP8,48.8263473,0.01,0.00011
189,225,WD 1310-472 (ER 8),White Dwarf,15029,28.27705243,-37.94257087,12.89729489,0101000080992076E8EC463C40F8678A29A6F842C0F9D55E3C6ACB2940,0.5,DC9,49.04661654,0.01,0.00011
190,226,WD 1633+433 (G 180-063),White Dwarf,15030,13.55983196,33.68454732,33.30022492,010100008042E96E4BA21E2B4073FB1F3F9FD740400F6C2AC56DA64040,0.5,DA7.5,49.26888217,0.01,0.00011
191,227,WD 0743-336 (Gliese 288B),White Dwarf,15031,-17.79843225,-46.1343108,-4.043934144,01010000805BD2510E66CC31C0F3BFA618311147C08AA17E12FD2C10C0,0.5,DC9,49.61362945,0.01,0.00011
192,228,WD 0115+159 (Wolf 1516),White Dwarf,15032,-23.34227599,25.77003205,-36.28617965,01010000808B4137669F5737C0319F07D220C53940EFC3E688A12442C0,0.5,DQ5,50.25577811,0.01,0.00011
193,229,WD 0230-144 (LHS 1415),White Dwarf,15033,-22.74533618,-3.719801345,-45.45315354,010100008025A0155ACEBE36C06F22233527C20DC0EE2E69EF00BA46C0,0.5,DA9,50.9625,0.01,0.00011
194,230,WD 2138-332 (P3327-2),White Dwarf,15034,32.64807301,7.433148519,-38.41911032,010100008065AF6F0EF4524040D1A90D498BBB1D4076E82E68A53543C0,0.5,DZ7,50.9625,0.01,0.00011
195,231,WD 1756+827 (EG 199),White Dwarf,15035,-18.88200872,40.53733688,24.60702563,0101000080D42FCF52CBE132C070447374C74444400DAF1C08669B3840,0.5,DA7,51.04225353,0.01,0.00011
196,232,WD 2154-512 (LTT 8768),White Dwarf,15036,32.40397562,-8.826978261,-39.39984309,010100008002241E79B5334040F4FED2B169A721C0718AF10E2EB343C0,0.5,DQ7,51.77142858,0.01,0.00011
197,233,WD 2336-079 (GD 1212),White Dwarf,15037,4.699268306,22.2713118,-46.75650608,0101000080E798A5FD0CCC1240D604ACB0744536409F69F430D56047C0,0.5,DAV4.6,52.00255102,0.01,0.00011
198,234,WD 1626+368 (Gliese 626.2),White Dwarf,15038,19.35105139,32.32572328,35.86886144,0101000080ED43FF80DE593340AB92E94CB12940401AC706DA36EF4140,0.5,DZ6,52.01913875,0.01,0.00011
199,235,WD 1223-659 (Gliese 2092),White Dwarf,15039,26.80415762,-45.62039567,-3.193007592,0101000080ADBA1646DDCD3A40719D142069CF46C05E287C90478B09C0,0.5,DA6.5,53.00828864,0.01,0.00011
200,236,WD 1019+637 (LP 062-147),White Dwarf,15040,-30.40655771,20.54056168,38.64957374,0101000080FC62842A14683EC021121140628A3440F9D1783B25534340,0.5,DA7.4,53.29411765,0.01,0.00011
201,237,WD 1236-495 (V886 Centauri),White Dwarf,15041,26.70901305,-44.72612823,12.046587,0101000080ED2F16E181B53A40B44614C5F15C46C067D65240DA172840,0.5,DA4.2,53.46885246,0.01,0.00011
202,238,WD 1309+853 (G 256-007),White Dwarf,15042,-24.4916931,38.45542884,28.56939054,01010000803A2B5899DF7D38C045BA027E4B3A4340A8F31394C3913C40,0.5,DC9,53.80402507,0.01,0.00011
203,239,WD 2008-600 (SCR 2012-5956),White Dwarf,15043,41.56964743,-17.5317397,-29.64240795,0101000080DC0CFD34EAC844401F7CCD17208831C0BEF0EFD874A43DC0,0.5,DC9.9,53.98212513,0.01,0.00011
204,240,WD 1257+037 (Gliese 492),White Dwarf,15044,13.50868116,-17.0810449,49.51194906,01010000802B9564DB71042B40F101CB5BBF1431C07FF5FA8B87C14840,0.5,DA8.7,54.08955224,0.01,0.00011
205,241,WD 0208+396 (LHS 151),White Dwarf,15045,-38.67492725,33.4222926,-19.02653314,0101000080F1F62004645643C0E12B15AF0DB64040698F38E0CA0633C0,0.5,DAZ7,54.54180602,0.01,0.00011
206,242,WD 2054-050 (Gliese 812B),White Dwarf,15046,34.33491195,32.75802614,-27.3839369,010100008011251065DE2A41401468240007614040453A4DB049623BC0,0.5,DC10.9,54.78918192,0.01,0.00011
207,243,WD 0322-019 (LHS 1547),White Dwarf,15047,-38.38258719,-3.392624029,-38.98909337,01010000809375F69DF83043C0176E211118240BC0936B8E9C9A7E43C0,0.5,DZ9+DB,54.81680672,0.01,0.00011
208,244,WD 2105-820 (EG 142),White Dwarf,15048,30.93055679,-35.88820564,-29.21007669,0101000080E91E44F838EE3E401DF6EFB8B0F141C0B2330196C7353DC0,0.5,DA4.5,55.65870307,0.01,0.00011
209,245,WD 2047+372 (EG 261),White Dwarf,15049,10.66697229,55.20317728,-3.91990797,0101000080C6C659647D552540F3718EB6019A4B4087D6B3B5F85B0FC0,0.5,DA3.5,56.36080871,0.01,0.00011
210,246,WD 2002-110 (LHS 483),White Dwarf,15050,44.98498937,27.33846937,-20.59721035,01010000806187B521147E464004D9BAEDA5563B402D150AC7E29834C0,0.5,DC10.5,56.52686309,0.01,0.00011
211,247,WD 0326-273 (LHS 1549),White Dwarf,15051,-23.84251822,-21.85994632,-46.47652845,0101000080232F2946AFD737C02EB7287125DC35C08A2E5EE2FE3C47C0,0.5,DA7+DA5,56.625,0.01,0.00011
212,248,WD 0423+120 (G 083-010),White Dwarf,15052,-51.32423365,-2.721010373,-23.76572675,0101000080A081FD7C80A949C0E3E42016A1C405C020EC14AB06C437C0,0.5,DC8,56.625,0.01,0.00011
213,249,WD 1705+030 (G 139-013),White Dwarf,15053,47.91338677,20.64315083,23.50354347,0101000080E2DF90DBE9F44740C93E6588A5A43440ADC38F39E8803740,0.5,DZA7.7,57.22105263,0.01,0.00011
214,250,WD 1043-188 (LHS 290),White Dwarf,15054,-3.176873524,-47.06422981,32.56736875,0101000080BDDD88AA3C6A09C06CB0B2AE388847C0DE02098A9F484040,0.5,DQ9,57.32161687,0.01,0.00011
215,251,WD 0433+270 (G 039-027),White Dwarf,15055,-55.64610843,7.34304523,-13.31665798,01010000808C4258AEB3D24BC05F98AF3F475F1D401F3CA8FE20A22AC0,0.5,DC8,57.68659356,0.01,0.00011
216,252,WD 0357+081 (LHS 1617),White Dwarf,15056,-49.17533239,-1.802689105,-30.96263344,0101000080617DB04A719648C0C549ED87D0D7FCBF03D626256FF63EC0,0.5,DA9,58.13903743,0.01,0.00011
217,253,WD 1935+276 (PY Vulpeculae),White Dwarf,15057,26.91100957,51.90385895,3.26448844,0101000080377E55EC37E93A4034396BA6B1F34940AEC27F1DAC1D0A40,0.5,DAV4.1,58.55655296,0.01,0.00011
218,254,WD 1009-184 (WT 1759),White Dwarf,15058,-10.20465436,-49.78992059,29.39798433,01010000801C5ECE74C86824C0573E2E1E1CE548C0A4AB114DE2653D40,0.5,DZ7.8,58.71467147,0.01,0.00011
219,255,WD 0751-252 (SCR 0753-2524),White Dwarf,15059,-27.39053457,-52.52176661,1.242170158,0101000080801BD612FA633BC0220C8F3FC9424AC09ED5CAD0EDDFF33F,0.5,DC,59.24795641,0.01,0.00011
220,256,WD 0747+073AB (LHS 239/240),White Dwarf,15060,-47.91892155,-31.27320253,16.76751766,0101000080796BAA389FF547C0D288DB99F0453FC06DCD90097CC43040,0.5,DC9+DC,59.62705667,0.01,0.00011
221,257,WD 0121-429 (LHS 1243),White Dwarf,15061,3.584878756,-16.99464679,-57.14407297,01010000804C29C9E9D4AD0C40131F0A2CA1FE30C09D31ABFB70924CC0,0.5,DAH+DC,59.72532504,0.01,0.00011
222,258,WD 1609+135 (LHS 3163),White Dwarf,15062,40.01506628,20.26082023,39.620979,0101000080AAEF1DB1ED01444036FC551DC54234405B40683D7CCF4340,0.5,DA5.8,59.84587156,0.01,0.00011
223,259,WD 0644+025 (G 108-026),White Dwarf,15063,-51.99522101,-30.29384967,0.256220549,0101000080FD1EED6663FF49C0249762BB394B3EC0A029A1DFEA65D03F,0.5,DA7,60.17712177,0.01,0.00011
224,260,WD 0415-595,White Dwarf,15064,0.160596759,-44.35617727,-40.73255118,0101000080EBD1DF416F8EC43F421D7F37972D46C0845FB03CC45D44C0,0.5,DA,60.22156573,0.01,0.00011
225,261,WD 0657+320 (LHS 1889),White Dwarf,15065,-58.46193284,-4.801513887,16.60772181,0101000080CC5F849D203B4DC0C1D16F0EC03413C0140413A8939B3040,0.5,DA11,60.96448598,0.01,0.00011
226,262,WD 2211-392,White Dwarf,15066,34.60159159,1.689302298,-50.16517386,0101000080A04C06F4004D41407B7BAFD86107FB3F536DC36A241549C0,0.5,DA8.1,60.96448598,0.01,0.00011
227,263,WD 0341+182 (Wolf 219),White Dwarf,15067,-53.9549049,9.109871488,-29.16884471,01010000802425E2523AFA4AC01A725F1341382240778D2B68392B3DC0,0.5,DQ5,62.00760456,0.01,0.00011
228,264,WD 2246+223 (LHS 3857),White Dwarf,15068,0.698801939,52.60065416,-33.04976904,0101000080485D4CE2955CE63F03B44A3CE24C4A40A093F7D45E8640C0,0.5,DA5,62.12571429,0.01,0.00011
229,265,WD 0806-661 (LTT 3059),White Dwarf,15069,9.757539492,-58.79743385,-18.87428561,01010000800C235F37DC832340973CF94F12664DC03C50862ED1DF32C0,0.5,DQ4,62.5186889,0.01,0.00011
230,266,WD 1315-781 (L040-116),White Dwarf,15070,34.03126176,-49.71937206,-16.82090423,01010000805F68A6620004414096AD376214DC48C081FF94C726D230C0,0.5,DC8.8,62.55466053,0.01,0.00011
231,267,WD 0011-134 (LHS 1044),White Dwarf,15071,0.274448796,17.98987771,-60.98009123,0101000080E5C7CFAE9190D13F477D27A068FD314024F921A1737D4EC0,0.5,DA8.5,63.57894737,0.01,0.00011
232,268,WD 2117+539 (G 231-040),White Dwarf,15072,-5.585920537,63.98128159,3.703660267,010100008008E1A18DFB5716C0C39B98A29AFD4F40B81352A218A10D40,0.5,DA3.3,64.33136095,0.01,0.00011
233,269,WD 1919+145 (EG 201),White Dwarf,15073,42.02790219,49.04082895,0.14776667,0101000080B5C4884C92034540717D0EE239854840985E8BAB04EAC23F,0.5,DAP3.4,64.58613862,0.01,0.00011
234,270,WD 0213+427 (Gliese 91.3),White Dwarf,15074,-46.94510287,40.60331248,-19.20686367,0101000080BC007F21F97847C0306FE557394D44406B617904F53433C0,0.5,DA9,64.97211155,0.01,0.00011
235,271,WD 1344+106 (Gliese 1178),White Dwarf,15075,22.82656008,-6.645015118,60.88577673,010100008076C7FF7099D336403CF1D4D77E941AC03474C32161714E40,0.5,DA7,65.36272546,0.01,0.00011
236,272,WD 2048+263 (LHS 3589),White Dwarf,15076,21.36775315,60.62835031,-12.53328143,010100008040400812255E3540D4F06FC86D504E4007D47A430A1129C0,0.5,DA9,65.4939759,0.01,0.00011
237,273,WD 0419-487 (RR Caeli A),White Dwarf,15077,-11.5586097,-45.37556353,-46.01809118,0101000080ED743117021E27C0CD753B7712B046C01839D1CF500247C0,0.5,DAZ8,65.65217391,0.01,0.00011
238,274,WD 0511+079 (G 084-041),White Dwarf,15078,-61.19964828,-15.21943119,-19.81886785,0101000080BDA628138E994EC0738BF14859702EC0EF7ECB52A1D133C0,0.5,DA8,66.10458046,0.01,0.00011
239,275,WD 1208+576 (LHS 2522),White Dwarf,15079,-23.64697407,25.04529083,57.11709188,01010000809002B817A0A537C0A0A8092E980B3940139DE1DDFC8E4C40,0.5,DA58.6,66.69938651,0.01,0.00011
240,276,WD 0628-020 (LP 600-042),White Dwarf,15080,-56.09887364,-35.64386004,-6.494399463,0101000080451E35E4A70C4CC029807B016AD241C0D7FA52DA43FA19C0,0.5,DA7.3+dM,66.78132678,0.01,0.00011
241,277,WD 0856+331 (EG 182),White Dwarf,15081,-50.17278159,-10.07138706,42.99207848,0101000080503307B51D1649C07C1D40D88C2424C02C55796DFC7E4540,0.5,DQ5,66.83606558,0.01,0.00011
242,278,WD 0423+044 (LHS 1670),White Dwarf,15082,-58.05806621,-10.27560304,-33.03421304,0101000080F179ACB66E074DC0D4F476D71B8D24C0C8F2C717618440C0,0.5,DC9,67.58392043,0.01,0.00011
243,279,WD 2248+293 (LHS 529),White Dwarf,15083,-4.172680657,60.99724648,-30.29596785,0101000080FFDDB932D3B010C058D3CCC5A57F4E40DD6A8C8CC44B3EC0,0.5,DA9.2,68.23430962,0.01,0.00011
290,327,LHS 3583,Star,30024,19.54193267,-22.17711581,-17.6634406,0101000080B2487619BC8A3340F78D3376572D36C0B0D63F3ED7A931C0,0.5,M2.5 V,34.43412162,,
244,280,WD 1639+537 (LP 137-043),White Dwarf,15084,7.425833382,51.66857997,44.8335629,0101000080B8F084AA0DB41D4091F4480794D5494057546930B26A4640,0.5,DCP7,68.81012658,0.01,0.00011
245,281,WD 2126+734 (Gliese 828.5),White Dwarf,15085,-22.44336678,62.57043486,19.40561593,01010000809B3B3C7C807136C063196E0204494F402D161272D6673340,0.5,DA3+DC10,69.24840764,0.01,0.00011
246,282,WD 0243-026 (LHS 1442),White Dwarf,15086,-41.54424753,2.891056512,-55.32684024,0101000080AF232FE7A9C544C0336C8F3CE22007408DE8A6E6D5A94BC0,0.5,DA7.5,69.24840765,0.01,0.00011
247,283,WD 0101+048 (LTT 10380),White Dwarf,15087,-23.26588709,29.03214929,-58.75508837,010100008086FA232D114437C0BE2395EF3A083D40B75E57BCA6604DC0,0.5,DA6,69.54371002,0.01,0.00011
248,284,WD 2347+292 (LHS 4019),White Dwarf,15088,-17.74739569,57.16312148,-36.56909355,0101000080ABB8ED5255BF31C004F0262AE1944C40A9CEB40ED84842C0,0.5,DA8.6,70.14193549,0.01,0.00011
249,285,WD 1214+032 (LP 554-063),White Dwarf,15089,6.60299565,-29.64196938,63.56289385,0101000080648511B177691A402622F41A58A43DC04D6FDAE70CC84F40,0.5,DA,70.44492441,0.01,0.00011
250,286,WD 0503-174 (LHS 1734),White Dwarf,15090,-48.50672185,-37.58845297,-36.74533969,010100008095F5F642DC4048C029B14A6D52CB42C0FB7A7C4A675F42C0,0.5,DAH9.5,71.52631579,0.01,0.00011
251,287,WD 0827+328 (EG 249),White Dwarf,15091,-59.20281091,-10.67089128,40.71775954,01010000806ADC38B5F5994DC00C8BD50F7F5725C094586B8BDF5B4440,0.5,DA6.7,72.64142539,0.01,0.00011
252,288,WD 2322+137 (LP 522-046),White Dwarf,15092,-3.086981177,52.3263951,-50.29110862,010100008024A9F42F23B208C08E098C50C7294A40EA3D190C432549C0,0.5,DC10.2,72.64142539,0.01,0.00011
253,289,WD 2011+065 (LHS 3532),White Dwarf,15093,46.47120521,53.0103208,-18.82643811,0101000080D153CB73503C4740FA3B253152814A40399EAE7291D332C0,0.5,DC7,72.96644295,0.01,0.00011
254,290,WD 0618+067 (LHS 1838),White Dwarf,15094,-67.57684879,-29.26049436,-4.736124092,010100008061F22F17EBE450C011FE24C2AF423DC033C09383CAF112C0,0.5,DA9,73.7918552,0.01,0.00011
255,291,WD 2040-392 (L495-082),White Dwarf,15095,58.25957231,3.080586995,-45.23827225,0101000080D7325BAA39214D40361060CB0AA50840ADA580B47F9E46C0,0.5,DA4.7,73.8252603,0.01,0.00011
256,292,WD 2351-335 (LTT 9768),White Dwarf,15096,17.7958144,0.956196509,-72.40695114,010100008095AF157EBACB3140328AD66B2999EE3FAD57CB7C0B1A52C0,0.5,DA5.5+dM+dM,74.56790124,0.01,0.00011
257,293,WD 0946+534 (EG 251),White Dwarf,15097,-48.0017778,15.47071609,55.4831799,0101000080EE6D44413A0048C0828008B301F12E40D34AC6D6D8BD4B40,0.5,DQ6,74.97931035,0.01,0.00011
258,294,WD 0038+555 (LTT 17144),White Dwarf,15098,-38.98205229,63.59366562,-9.169486267,01010000808641B2E3B37D43C06D542B3CFDCB4F40B2C56BE7C65622C0,0.5,DQ5,75.15207373,0.01,0.00011
259,295,WD 1655+215 (LHS 3254),White Dwarf,15099,46.99083796,41.50366745,42.69315675,0101000080EDEA3CC7D37E4740A5E7CC2C78C044403620425CB9584540,0.5,DA5.5,75.85116279,0.01,0.00011
260,296,WD 1625+093 (G 138-031),White Dwarf,15100,56.1853655,25.36191965,44.80259307,01010000804227840EBA174C409F8724C4A65C3940B8D2A55EBB664640,0.5,DA7,76.20560747,0.01,0.00011
261,297,WD 0029-031 (LHS 1093),White Dwarf,15101,-11.62263338,29.75863657,-69.57937297,0101000080F2FE68CDC93E27C01AB3990136C23D4087955D72146551C0,0.5,DA,76.56338028,0.01,0.00011
262,298,WD 0706+377 (G 087-029),White Dwarf,15102,-74.55106346,0.224192355,26.63068879,01010000801EAEAC9F44A352C0107E5EC855B2CC3FFA000FD274A13A40,0.5,DQ8,79.16504854,0.01,0.00011
263,299,WD 0955+247 (LTT 12661),White Dwarf,15103,-44.80449367,-22.51786648,62.00712134,0101000080983E09A6F96646C06D4BCBE5928436C0AC33215AE9004F40,0.5,DA6.1,79.74572127,0.01,0.00011
264,300,WD 1436-781 (LTT 5814),White Dwarf,15104,47.99869569,-60.20500551,-23.1932377,0101000080639AA742D5FF47409379DC9E3D1A4EC0B1DAA106783137C0,0.5,DA8,80.41420118,0.01,0.00011
265,301,WD 1840+042 (EG 225),White Dwarf,15105,65.59101475,47.45889753,5.315173264,010100008008AD872FD365504058C87D27BDBA474076D0B5C7BC421540,0.5,DA5.8,81.13432835,0.01,0.00011
266,302,WD 2008-799 (SCR 2016-7945),White Dwarf,15106,48.76986154,-50.50897609,-41.22152367,0101000080C55FACD28A6248407B7FE620264149C04FF83AE35A9C44C0,0.5,DA8.7,81.41787318,0.01,0.00011
267,303,Gliese 1068,Star,30001,-1.949944449,-15.93705024,-16.10554037,01010000803F8C57F3F832FFBF95048F0CC5DF2FC0C88E95B1041B30C0,0.5,M4.5 V,22.7415981,,
268,304,LHS 3746,Star,30002,14.46107426,1.632254625,-19.44497806,01010000806E74E7EC11EC2C4079EA9106B71DFA3F35230715EA7133C0,0.5,M3 V,24.2877355,,
269,305,Gliese 293 (WD 0752-676),White Dwarf,30003,4.315750048,-23.97752833,-8.594854554,0101000080527B07FB534311407443F04B3FFA37C0039DAEC6903021C0,0.59,DC9,25.83445545,,
270,306,Gliese 300,Star,30004,-12.31759422,-22.64816784,3.111644172,0101000080E698A8B59BA228C0741EDB53EEA536C0643B1CB3A5E40840,0.5,M3.5 V,25.96815287,,
271,307,Gliese 915 (WD 2359-434),White Dwarf,30005,7.581628907,-4.090556008,-25.17704699,010100008095E4378796531E40E843D3B6BA5C10C0BEE797F3522D39C0,0.85,DA5,26.61010035,,
272,308,SCR 1138-7721,Star,30006,12.43030829,-22.5595488,-6.937625942,0101000080D07E415E51DC28401C8414973E8F36C0B415D30321C01BC0,0.5,M5 V,26.67539053,,
273,309,AP Columbae,Star,30007,-12.14014875,-21.85071418,-11.12381625,01010000808BA6B393C14728C0ED578D67C8D935C03EEDF0D7643F26C0,0.5,M4.5Ve,27.3601208,,
274,310,Gliese 1276 (WD 2251-070),White Dwarf,30008,7.011109884,14.1494452,-22.95569521,0101000080F8C4B163600B1C409F16CD14844C2C40D3E4F770A8F436C0,0.5,DZ9,27.86263455,,
275,311,G 089-032 AB,Star,30009,-23.17750409,-14.29825605,6.389605074,0101000080CC7475E8702D37C0152B5904B5982CC01EBEECA1F48E1940,0.5,M4.5 V,27.97255575,,
276,312,Gliese 1207,Star,30010,25.15217875,6.692344314,11.02453881,01010000806B65C22FF526394064CE68E8F5C41A4092DDD459900C2640,0.5,M3.5 V,28.26588093,,
277,313,SCR 0630-7643 AB,Star,30011,7.820893068,-24.09829734,-13.20511351,0101000080DC4A423198481F407395B4032A1938C0E6D552A304692AC0,0.5,M5 V,28.57042747,,
278,314,Gliese 318 (WD 0839-327),White Dwarf,30012,-7.617609185,-27.53339608,2.790304906,01010000800923CD8A6E781EC0236A3FA58C883BC0591BE9608B520640,0.5,DA6,28.70368741,,
279,315,Gliese 1123,Star,30013,10.63033143,-25.59341596,-9.829840278,010100008059FB1ACDBA422540DC1FBD1BEA9739C0BDD32DD3E0A823C0,0.5,M4.5 V,29.40497656,,
282,319,Gliese 283 B,Star,30015,-17.46193446,-23.9992157,1.288950513,01010000806D983656417631C05626A199CCFF37C072F5B7928A9FF43F,0.5,M6 V,29.70762365,,
283,320,LHS 2206,Star,30017,-16.72278247,-10.33691771,22.78124736,0101000080A8C59E4508B930C053C9637A80AC24C04D49B5D3FFC73640,0.5,M4.5 V,30.09133684,,
284,321,WT 460,Star,30018,21.60109951,-18.95394273,9.809571432,0101000080751751A8E1993540629B3B9735F432C0896E9025809E2340,0.5,M5.5 V,30.36588772,,
285,322,APMPM J0237-5928,Star,30019,3.618562313,-18.59532168,-25.09947401,010100008024FC46CCD0F20C4025336A00679832C082C0F320771939C0,0.5,M5 V,31.44620131,,
286,323,Wolf 227,Star,30020,-28.22306637,3.41580416,-14.93188987,0101000080C9FCABE01A393CC00FEDA52191530B40543F46AB20DD2DC0,0.5,M4.5 V,32.11184405,,
287,324,LHS 1302,Star,30021,-12.98786733,4.823945432,-29.24799378,0101000080104626BFC9F929C0AE83F059B84B134020B636857C3F3DC0,0.5,M5 V,32.3635642,,
288,325,Gliese 1277,Star,30022,17.14237018,-11.68951936,-26.24900785,01010000809006435F7224314055517AAE086127C081327CFABE3F3AC0,0.5,M4 V,33.45917111,,
289,326,LHS 5156,Star,30023,8.057743316,-32.97185821,-4.790138141,0101000080B0902B88901D204049268ED9657C40C040AB0BF9192913C0,0.5,M4.5 V,34.27850762,,
291,328,SCR 0821-6703 (WD 0821-669),White Dwarf,30025,6.261711855,-32.68132429,-9.974319211,01010000804ECD4831FE0B19409DC263A2355740C01338B6F7D9F223C0,0.5,DA9.8,34.7385238,,
292,329,Gliese 1129,Star,30026,-9.276440984,-29.8252938,15.20409578,0101000080AE1B33AC898D22C07197587446D33DC006B4F83D7F682E40,0.5,M3.5 V,34.7385238,,
293,330,Gliese 1050,Star,30027,-7.921875493,-11.90446517,-31.71999029,0101000080EEAC152100B01FC0CB0A0B0F16CF27C0D0FC9C4851B83FC0,0.5,M3.5 V,34.79411137,,
294,331,LHS 2836,Star,30028,21.67870168,-15.76708096,22.69619687,01010000801B57AF64BFAD3540272BE9D5BE882FC0423A44F539B23640,0.5,M4 V,35.12384234,,
295,332,Gliese 438,Star,30029,13.33929109,-32.43104903,5.948459189,010100008096BFCE8FB7AD2A404869579D2C3740C0FB61B9E238CB1740,0.5,M1 V,35.56815703,,
296,333,LHS 306,Star,30030,2.612502413,-26.32762279,25.21574263,0101000080DD7244AA67E604406A795016DF533AC0FA33B4E83A373940,0.5,M4.5 V,36.5486329,,
297,334,Gliese 1025,Star,30031,-9.077531853,11.1877969,-34.2864273,01010000800A114A41B22722C093944FEA266026403E1757A6A92441C0,0.5,M3.5 V,37.19042189,,
